avg_voltage,avg_temperature,battery_life_months,cycle_count,label
3.828,22.24,1.0,54,1
3.403,39.32,55.8,1144,0
3.474,31.42,32.4,628,1
3.681,32.03,30.2,587,1
3.859,27.53,6.0,104,1
3.709,24.88,12.2,254,1
3.315,38.11,56.8,1136,0
3.798,25.96,27.1,510,1
3.864,25.17,2.0,99,1
3.753,26.63,7.7,153,1
3.323,37.11,45.9,914,0
3.512,36.69,45.4,878,0
3.751,31.94,14.2,338,1
3.559,30.66,44.1,822,1
3.16,35.38,59.8,1187,0
3.304,38.55,48.4,957,0
3.934,20.9,7.2,161,1
3.533,35.56,41.1,801,1
3.754,26.43,20.0,398,1
3.396,39.92,43.2,816,0
3.222,40.24,55.1,1159,0
3.799,29.36,20.4,401,1
3.684,36.68,32.8,640,1
3.263,35.02,52.5,1057,0
3.428,30.98,33.6,688,0
3.659,26.97,22.3,460,1
3.343,34.34,48.1,955,0
3.583,31.06,19.9,470,1
3.252,39.56,54.2,1046,0
3.478,37.26,36.5,750,1
3.766,20.0,2.2,38,1
3.675,27.36,12.2,230,1
3.648,28.71,27.1,563,1
3.675,29.86,21.6,438,1
3.935,32.34,1.0,27,1
3.622,28.7,12.8,226,1
3.502,37.67,42.1,798,0
3.966,34.43,10.8,284,1
3.423,39.37,43.1,879,1
3.502,35.66,45.5,960,1
3.755,26.84,22.3,453,1
3.477,37.66,52.3,1020,0
3.509,33.5,42.8,816,0
3.627,28.66,35.2,659,1
3.696,32.56,30.0,547,1
3.427,39.21,53.2,1073,0
3.78,30.52,1.0,17,1
3.131,38.86,59.6,1196,0
3.666,27.82,9.2,158,1
3.634,28.97,21.4,477,1
3.424,40.99,56.8,1070,0
3.531,31.1,27.7,518,1
3.943,22.72,4.5,99,1
3.319,38.22,51.6,1061,0
3.711,29.67,12.7,280,1
3.568,31.98,25.0,497,1
3.561,31.91,14.6,302,1
3.832,22.92,11.0,181,1
3.768,30.06,29.7,607,1
3.332,40.96,57.2,1123,0
3.365,31.57,34.9,700,1
3.482,38.13,50.2,993,0
3.168,31.99,56.5,1140,0
3.684,35.54,11.0,191,1
3.75,27.35,14.1,253,1
3.422,40.84,50.0,981,1
3.335,35.59,47.6,928,0
3.28,41.06,57.4,1185,0
3.908,31.08,7.0,128,1
3.976,28.72,3.4,18,1
3.742,31.46,29.3,566,1
3.806,31.72,26.4,570,1
3.638,36.59,34.2,686,1
3.565,39.82,32.0,626,0
3.559,36.25,41.2,854,1
3.466,42.9,45.4,962,0
3.873,26.21,7.1,155,1
3.673,33.98,23.0,490,1
3.416,38.12,39.2,785,1
3.233,37.87,53.2,1128,0
3.767,25.83,13.4,246,1
3.383,41.72,51.9,1063,0
3.453,32.89,39.9,759,1
3.673,29.04,26.3,538,1
3.648,34.46,46.0,921,1
3.522,28.49,20.1,408,1
3.696,34.13,24.9,525,1
3.479,36.9,46.3,828,0
3.494,38.43,44.2,903,1
3.839,26.71,3.8,36,1
3.543,31.78,32.1,685,0
3.903,27.34,1.7,20,1
3.709,32.56,17.0,321,1
3.492,33.15,25.6,512,1
3.677,31.35,18.9,400,1
3.431,30.87,32.2,654,1
3.479,37.79,47.8,972,0
3.478,28.43,28.4,471,1
3.419,39.52,58.3,1167,0
3.385,34.03,56.8,1116,0
3.526,30.53,45.3,834,1
3.32,33.51,34.6,727,0
3.44,34.03,42.8,854,0
3.99,25.96,2.0,51,1
3.561,31.78,28.6,575,1
3.218,39.45,57.1,1149,0
3.761,28.7,6.0,150,1
3.736,27.54,16.1,314,1
3.53,31.47,26.4,570,0
3.871,33.18,17.2,305,1
3.553,33.53,35.3,682,1
3.425,34.94,40.9,838,0
3.231,38.72,53.0,1078,0
3.447,37.05,50.7,1003,1
3.724,28.42,20.6,444,1
3.514,29.67,34.3,613,1
3.18,35.12,50.4,993,0
3.809,30.92,14.0,264,1
3.343,36.57,55.2,1077,0
3.432,37.09,49.0,1004,0
4.093,27.16,2.4,5,1
3.334,38.25,56.6,1127,0
3.462,36.58,40.6,774,0
3.347,31.34,43.5,877,1
3.373,37.0,52.2,992,1
3.474,36.29,45.0,884,0
3.882,25.66,6.7,47,1
3.639,30.88,42.6,867,1
3.538,38.9,41.6,823,0
3.419,34.14,44.7,936,0
3.501,34.21,31.7,656,1
3.792,28.39,14.7,269,1
3.624,32.64,20.8,370,1
3.6,39.51,37.7,636,0
3.384,35.25,56.3,1130,0
3.55,31.27,31.0,657,1
3.777,27.07,7.5,120,1
3.266,32.07,39.3,831,1
3.473,40.87,55.2,1082,0
3.57,36.79,36.0,741,0
3.884,28.14,6.3,117,1
3.348,35.6,41.7,791,0
3.462,43.5,57.3,1151,0
3.347,34.2,52.5,1013,0
3.33,38.72,55.8,1082,0
3.476,30.71,28.0,634,1
3.465,34.08,23.8,513,0
3.615,29.52,37.0,802,1
3.469,38.92,60.0,1120,0
3.312,40.28,56.9,1142,0
3.552,29.16,31.6,560,1
3.618,29.22,21.1,488,1
3.417,36.26,43.7,897,0
3.428,36.67,36.8,704,0
3.58,29.16,29.4,581,1
3.52,32.3,40.6,790,1
3.571,39.14,40.5,861,1
3.778,27.27,15.1,247,1
3.192,36.42,56.6,1100,0
3.858,29.11,8.5,154,1
3.376,36.0,48.5,997,0
3.482,41.96,56.1,1110,0
3.694,31.72,34.3,697,1
3.5,38.18,51.3,1093,0
3.308,41.22,53.4,1071,0
3.594,36.93,50.1,1009,0
3.888,28.44,6.8,94,1
3.584,36.78,43.4,958,1
3.344,43.6,51.1,1012,0
3.644,35.37,20.3,453,1
3.471,32.42,46.2,912,0
3.806,29.29,11.6,218,1
3.788,28.48,23.5,474,1
3.661,30.97,23.2,432,1
3.846,29.47,14.6,341,1
3.698,28.72,29.8,551,1
3.7,32.64,16.4,357,1
3.954,25.9,1.0,23,1
3.592,30.67,25.6,522,1
3.573,37.74,52.0,1124,0
3.233,35.44,40.6,802,0
3.586,35.75,37.6,762,1
3.503,30.15,24.6,442,1
3.493,26.11,39.7,769,1
3.383,37.75,48.0,1016,0
3.793,27.13,24.1,516,1
3.311,37.37,53.0,1040,0
3.635,30.69,41.3,792,1
3.614,24.95,19.2,336,1
3.906,31.93,15.3,258,1
3.604,30.25,24.7,497,1
3.459,35.01,45.5,896,0
3.786,28.45,10.6,160,1
3.602,34.54,42.0,852,1
3.664,39.94,35.3,690,1
3.754,28.93,18.3,380,1
3.306,38.06,46.7,957,0
3.483,36.55,34.6,691,1
3.201,44.71,58.2,1192,0
3.142,36.11,53.1,1067,0
3.884,27.31,12.2,285,1
3.669,33.79,19.5,397,1
3.86,27.58,1.5,12,1
3.8,34.46,23.8,499,1
3.475,30.32,37.7,754,1
3.798,30.08,2.0,35,1
3.514,31.8,37.3,727,1
3.362,36.19,42.2,849,0
3.889,25.68,6.7,90,1
3.475,32.06,34.6,776,1
3.547,28.32,36.1,605,1
3.356,31.89,46.8,970,1
3.378,38.13,51.9,1022,0
3.699,25.65,19.0,418,1
3.791,23.04,7.0,115,1
3.556,32.06,31.4,617,1
3.479,27.41,40.0,826,1
3.332,41.07,57.1,1099,0
3.697,22.93,20.3,413,1
3.468,33.88,37.5,729,0
3.49,37.81,49.2,1021,0
3.529,36.13,38.0,761,0
3.512,33.32,37.8,676,1
3.706,36.77,24.8,457,1
3.433,37.15,46.6,920,0
3.631,30.56,8.7,192,1
3.565,32.07,37.1,739,0
3.237,39.4,56.5,1123,0
3.504,41.87,49.8,978,0
3.371,36.9,48.3,1009,0
3.93,26.78,6.1,96,1
3.505,36.23,31.0,663,1
3.888,23.24,5.1,37,1
3.882,22.0,12.4,279,1
3.765,28.48,11.4,217,1
3.407,38.8,45.4,867,0
3.529,31.86,43.1,873,1
3.933,27.79,3.8,62,1
3.547,34.48,32.7,596,1
3.337,27.29,37.6,729,1
3.64,27.15,20.6,397,1
3.618,32.55,31.6,699,1
3.301,37.5,50.3,1043,0
3.81,24.98,10.9,177,1
3.636,27.56,20.9,396,1
3.484,35.58,23.7,445,1
3.794,25.63,5.1,76,1
3.835,26.23,15.8,265,1
3.435,30.56,22.2,455,1
3.566,35.59,36.1,718,0
3.414,34.34,34.7,735,0
3.535,35.02,40.0,851,0
3.899,24.85,3.9,144,1
3.44,34.08,42.5,885,0
3.337,36.87,57.8,1093,0
3.258,40.05,53.0,1123,0
3.567,26.97,19.2,396,1
3.545,39.29,49.9,1049,0
3.339,41.09,46.2,948,0
3.611,37.11,44.9,891,1
3.227,38.58,57.3,1175,0
3.369,35.71,60.6,1168,0
3.502,36.85,31.5,569,0
3.421,34.78,48.7,1063,0
3.813,28.91,4.1,109,1
3.336,40.24,53.4,1066,0
3.494,35.98,49.0,935,1
3.654,29.19,19.0,398,1
3.44,27.42,31.7,634,1
3.398,40.45,55.5,1157,0
3.192,41.7,56.3,1187,0
3.585,30.9,39.5,733,0
3.88,27.47,8.1,235,1
3.533,33.34,37.6,658,1
3.643,36.14,39.0,751,1
3.654,32.36,30.8,588,1
3.314,33.03,52.8,1033,0
3.491,37.14,54.4,1098,0
3.309,37.6,48.5,954,0
3.616,33.67,24.2,492,1
3.423,34.56,46.8,913,1
3.362,46.54,59.8,1198,0
3.416,34.22,57.7,1192,0
3.92,25.43,6.8,170,1
3.449,36.58,45.3,946,1
3.474,34.34,41.7,795,1
3.4,29.23,30.5,634,1
3.754,26.71,1.0,29,1
3.482,40.98,60.2,1189,0
3.547,29.38,20.0,339,1
3.572,32.25,26.5,500,1
3.759,30.12,24.3,511,1
3.812,22.86,7.7,217,1
3.415,37.3,57.5,1156,0
3.407,39.15,54.4,1094,0
3.824,31.05,20.3,445,1
3.492,36.07,44.9,876,1
3.883,28.73,12.0,167,1
3.782,24.39,5.0,91,1
3.602,34.01,36.0,714,1
3.841,27.2,1.0,39,1
3.28,39.12,60.3,1150,0
3.903,23.43,8.5,173,1
3.664,30.28,31.5,653,1
3.692,36.92,37.8,754,1
3.521,42.7,55.0,1082,0
3.754,34.48,24.1,476,1
3.5,31.4,25.2,456,1
3.668,31.75,42.2,829,1
3.544,36.17,44.2,895,1
3.311,42.5,52.1,1025,0
3.779,31.69,20.3,387,1
3.622,28.73,14.8,348,1
3.867,29.26,11.8,190,1
3.516,27.5,24.6,505,1
3.407,33.21,40.6,824,1
3.506,33.36,48.0,929,1
3.54,38.08,48.2,934,1
3.362,41.4,55.6,1141,0
3.804,26.21,8.3,134,1
3.66,23.11,1.8,58,1
3.537,33.5,37.9,685,1
3.617,31.94,31.9,672,1
3.782,24.77,9.1,173,1
3.49,36.2,39.2,815,0
3.295,37.39,63.1,1173,0
3.828,21.3,1.5,80,1
3.465,32.04,45.3,886,1
3.771,22.73,8.7,203,1
3.662,35.29,37.5,764,1
3.656,26.04,3.3,47,1
3.262,39.89,60.8,1167,0
3.485,34.96,36.0,656,0
3.686,34.46,20.5,471,1
3.422,35.36,49.1,971,1
3.544,39.17,54.7,1036,0
3.727,29.46,33.4,736,1
3.431,38.94,39.8,784,1
3.416,33.37,48.4,968,0
3.741,27.34,18.7,358,1
3.334,35.36,47.1,972,0
3.629,28.77,30.5,668,1
3.69,29.76,14.8,373,1
3.277,38.54,53.6,1032,0
3.299,38.76,59.5,1146,0
3.462,28.83,34.4,676,1
3.959,32.08,3.4,90,1
3.741,35.37,31.7,698,1
3.654,39.65,28.1,540,1
3.545,31.73,34.4,732,1
3.481,38.74,42.0,869,0
3.998,27.85,1.0,41,1
3.646,33.38,36.6,740,1
3.637,35.51,23.6,502,0
3.446,35.77,48.0,959,0
3.381,38.53,57.2,1169,0
3.322,26.2,47.9,929,1
3.791,31.99,25.1,461,1
3.707,30.17,36.8,732,1
3.641,32.75,38.5,752,0
3.313,33.48,50.5,925,0
3.248,35.26,43.1,909,1
3.776,31.21,17.0,390,1
3.382,36.07,45.5,883,0
3.801,30.33,16.7,256,1
3.699,37.66,34.9,709,0
3.609,29.52,26.0,450,1
3.857,23.69,1.0,10,1
3.516,38.17,39.8,824,0
3.371,38.09,37.9,798,0
3.386,38.18,45.1,877,0
3.388,35.01,49.6,1029,0
3.298,40.56,57.3,1143,0
3.453,38.03,54.0,1016,0
3.99,32.83,18.1,374,1
3.365,36.89,57.1,1089,0
3.743,21.83,4.9,146,1
3.93,29.87,10.1,224,1
3.653,19.54,6.0,177,1
3.335,33.47,42.8,853,0
3.809,22.72,4.7,63,1
3.458,32.25,41.5,827,1
3.441,32.69,42.2,795,0
3.552,37.26,33.0,689,0
3.875,28.77,5.7,105,1
3.445,38.28,55.1,1123,0
3.654,34.79,26.3,511,1
3.651,26.63,20.3,385,1
3.799,26.47,21.4,405,1
3.407,37.88,39.0,823,0
3.478,33.21,24.1,518,0
3.783,29.57,22.4,476,1
3.66,30.46,35.0,709,1
3.435,39.02,38.7,771,0
3.337,32.93,53.8,1047,0
3.31,35.67,48.2,997,0
3.594,34.15,30.6,677,1
3.716,39.33,40.0,714,1
3.929,27.19,1.9,83,1
3.419,41.05,60.1,1169,0
3.427,37.15,55.5,1109,0
3.349,40.48,55.6,1102,0
3.78,31.03,22.8,457,1
3.974,20.25,1.0,1,1
4.018,28.02,3.5,51,1
3.512,36.47,33.4,685,1
3.368,36.37,38.2,717,0
3.78,30.71,23.6,449,1
3.494,33.14,45.2,881,1
3.626,24.17,23.4,488,1
3.859,25.9,1.2,34,1
4.108,29.43,2.4,95,1
3.288,41.69,54.1,1096,0
3.738,29.37,5.6,154,1
3.784,27.9,15.1,250,1
3.681,36.69,33.8,674,1
3.909,33.25,22.2,438,1
3.907,25.21,5.4,118,1
3.387,36.67,38.9,771,0
3.963,26.74,18.3,268,1
3.359,40.1,53.3,1078,0
3.698,24.05,10.5,236,1
3.598,26.2,20.5,389,1
3.489,40.55,44.4,990,0
3.542,37.35,38.3,763,1
3.734,31.91,19.3,401,1
3.717,33.06,29.2,624,1
3.436,27.41,39.4,767,1
3.577,36.26,46.1,919,0
3.422,37.03,39.0,853,0
3.827,30.62,27.6,578,1
3.922,23.8,1.0,75,1
3.59,34.77,22.3,435,1
3.646,26.11,5.7,103,1
3.599,35.91,36.6,764,1
3.494,36.55,38.0,738,0
3.481,32.07,37.7,806,1
3.928,26.8,3.0,98,1
3.602,38.93,40.7,798,0
3.593,41.2,41.6,859,0
3.565,30.56,21.6,435,1
3.819,29.87,21.2,447,1
3.718,28.92,11.6,249,1
3.591,27.81,7.6,166,1
3.29,41.46,47.8,984,0
3.412,34.76,51.6,1020,0
3.531,30.94,25.8,542,1
3.512,31.14,38.0,759,1
3.369,36.09,55.0,1130,0
3.841,27.14,1.0,81,1
3.784,29.09,8.5,133,1
3.376,33.01,40.8,797,1
3.452,38.57,49.6,900,0
3.625,30.06,4.8,138,1
3.739,33.1,8.8,184,1
3.415,35.02,39.0,785,0
3.384,35.38,51.2,984,0
3.844,22.86,2.4,69,1
3.723,28.52,25.0,546,1
4.032,29.41,5.1,53,1
3.686,23.02,9.6,205,1
4.036,30.23,8.1,126,1
3.801,22.93,3.7,43,1
3.862,24.33,5.5,111,1
3.571,34.06,37.7,761,1
3.72,33.49,41.6,848,1
3.798,28.98,4.7,95,1
3.27,41.69,46.7,900,0
3.869,27.53,16.4,360,1
3.367,34.95,45.2,900,0
3.723,28.02,11.8,281,1
3.455,34.96,31.4,667,1
3.818,25.7,4.6,93,1
3.48,37.56,29.7,672,0
3.937,29.2,7.2,61,1
3.591,29.37,29.3,634,1
3.294,40.0,53.7,1075,0
3.485,42.42,53.8,1029,0
3.623,31.07,28.5,604,1
3.374,32.64,29.5,682,0
3.725,30.09,25.8,534,1
3.499,33.95,40.2,838,0
3.717,28.06,27.7,645,1
3.796,23.93,12.2,233,1
3.559,31.78,26.6,524,1
3.707,33.87,19.6,346,1
3.445,36.53,51.3,1070,0
3.55,29.9,24.1,546,1
3.305,43.88,54.3,1102,0
3.329,35.39,54.7,1097,0
3.388,29.94,41.5,794,1
3.7,25.63,15.3,249,1
3.894,23.6,4.8,47,1
3.448,34.07,57.8,1145,0
3.825,27.29,12.3,214,1
3.776,30.83,10.7,239,1
3.277,34.64,54.3,1080,0
3.835,29.64,15.1,350,1
3.89,27.53,5.5,107,1
3.414,35.14,41.7,831,0
3.966,26.16,5.8,48,1
3.787,29.8,16.4,337,1
3.294,35.69,52.7,1050,0
3.488,39.55,40.7,804,0
3.847,28.84,1.0,8,1
3.851,36.38,29.6,625,1
3.594,37.03,38.5,719,1
3.767,24.06,13.2,303,1
3.628,35.77,29.3,639,1
4.01,27.67,4.2,56,1
3.529,29.47,38.6,726,1
3.578,30.93,25.4,526,1
3.747,31.76,22.8,474,1
3.869,30.34,2.0,28,1
3.754,28.15,2.5,78,1
3.591,26.97,16.7,365,1
3.72,38.41,35.1,666,1
3.65,31.71,27.5,526,1
3.492,32.97,37.6,699,1
3.435,35.06,41.6,883,1
3.465,33.02,50.5,1031,0
3.357,37.51,51.9,1027,0
3.296,37.98,44.1,919,0
3.558,33.22,38.8,750,0
3.839,30.8,20.6,363,1
3.611,32.48,39.1,806,1
3.475,33.81,37.0,739,1
3.507,38.94,54.9,1039,0
3.679,31.63,27.8,485,1
4.01,20.53,2.9,28,1
3.6,32.61,36.9,714,0
3.216,43.32,51.4,1063,0
4.032,24.6,5.0,86,1
3.842,26.62,7.4,126,1
3.552,34.89,40.2,812,0
3.497,36.42,25.7,537,1
3.878,30.68,4.7,145,1
3.998,27.74,1.0,25,1
4.06,22.92,1.0,67,1
3.924,28.99,12.8,233,1
3.901,28.07,5.7,109,1
3.161,37.53,57.5,1170,0
3.858,23.78,4.9,111,1
3.727,32.97,11.8,228,1
3.868,25.49,5.2,111,1
3.761,30.27,1.0,34,1
3.567,35.78,33.0,623,1
3.474,35.57,38.0,748,1
3.548,33.8,30.3,595,0
3.634,26.11,22.9,425,1
3.58,33.28,29.0,613,1
3.583,37.9,37.0,692,1
3.493,30.98,15.5,315,1
3.224,36.43,45.6,877,0
3.535,38.41,34.6,662,1
3.742,27.91,11.8,277,1
3.607,30.94,32.2,624,1
3.569,31.91,26.5,516,1
3.479,37.84,42.2,843,0
3.738,24.22,17.3,350,1
3.415,36.14,41.0,823,0
3.421,41.94,59.7,1161,0
3.538,33.68,39.1,759,1
3.505,39.56,45.0,899,0
3.785,29.96,9.2,243,1
3.839,38.21,28.1,543,1
3.428,36.05,54.6,1064,0
3.737,30.35,16.1,229,1
3.708,28.8,29.6,548,1
3.276,31.65,42.2,920,0
3.909,18.97,1.0,6,1
3.698,32.46,27.0,468,1
3.876,26.49,5.0,75,1
3.865,23.61,1.0,4,1
3.476,27.75,34.1,646,1
3.762,24.4,4.7,118,1
3.47,36.02,45.0,881,0
3.537,33.68,24.7,504,1
3.604,36.79,47.3,947,0
3.349,32.93,30.4,574,0
3.771,26.3,7.8,194,1
3.488,40.84,44.9,847,0
3.593,30.88,34.9,715,1
3.283,36.03,53.0,1050,0
3.927,25.69,5.8,173,1
3.598,30.7,17.7,326,1
3.272,36.16,60.0,1142,0
3.544,35.86,40.8,836,1
3.642,34.54,34.0,724,1
3.647,25.73,11.8,225,1
3.899,32.64,29.5,532,1
3.754,23.39,2.8,113,1
3.699,23.4,4.8,140,1
3.671,32.29,27.0,559,1
3.865,20.03,1.0,1,1
3.805,19.69,2.9,90,1
3.633,34.77,28.5,654,0
3.587,32.15,17.2,320,1
3.66,25.34,7.6,139,1
3.418,33.56,38.9,845,1
3.878,31.25,15.9,259,1
3.394,32.84,48.5,902,0
3.715,29.53,33.0,690,1
4.015,27.25,2.8,10,1
3.798,28.29,11.9,261,1
3.848,30.34,9.0,172,1
3.479,29.8,43.2,898,1
3.909,20.96,5.1,13,1
3.267,39.94,59.0,1192,0
3.714,30.27,16.3,321,1
3.629,31.65,15.1,329,1
3.286,35.34,43.0,785,1
3.622,35.21,42.6,777,1
3.46,35.22,48.8,911,0
3.341,43.76,57.9,1119,0
3.781,25.67,14.7,318,1
3.699,29.03,13.5,236,1
3.633,26.21,16.7,334,1
3.684,31.3,21.4,376,1
3.456,36.4,60.3,1161,0
3.489,34.58,28.1,588,1
3.381,31.75,27.5,513,1
3.389,41.71,47.3,918,0
3.578,35.07,38.1,873,1
3.592,29.65,15.1,270,1
3.383,32.64,39.0,798,1
3.564,33.2,34.5,725,1
3.562,40.18,57.8,1189,0
3.762,20.48,1.0,5,1
3.335,31.38,43.5,851,0
3.895,27.77,1.2,78,1
3.733,31.74,29.1,574,1
3.772,24.87,7.8,132,1
3.437,30.3,33.8,601,1
3.41,36.23,51.1,1066,0
3.917,26.45,3.8,89,1
3.877,31.36,20.6,402,1
3.818,22.42,17.1,296,1
3.675,36.94,30.2,616,1
3.474,39.03,42.4,800,0
